"API type ""%1"" does not exist!","API type ""%1"" does not exist!"
"%1 class doesn't implement \Klarna\Core\Api\BuilderInterface","%1 class doesn't implement \Klarna\Core\Api\BuilderInterface"
"Object model is not defined.","Object model is not defined."
"The order item model should be extended from %1.","The order item model should be extended from %1."
"Requested order doesn't exist","Requested order doesn't exist"
"Order with id ""%1"" does not exist.","Order with id ""%1"" does not exist."
"Order with reservationId ""%1"" does not exist.","Order with reservationId ""%1"" does not exist."
"Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.","Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials."
"link","link"
